VIP(public),Proto,Ports,To(DMZ),Comment
203.0.113.11,tcp,"80,443",172.16.200.11,
203.0.113.12,tcp,"80,443",172.16.200.12,
203.0.113.53,udp,53,172.16.200.53,
203.0.113.53,tcp,53,172.16.200.53,
